rotor_radius,root_radius,n_blades,air_density,wind_speed,tip_speed_ratio,pitch,start_radius,tip_loss_correction,root_loss_correction,resolution,r_centre,r_inner,r_outer,a,a_prime,f_n,f_t,C_T,alpha,circulation,end_correction,c_l,c_d,phi,inflow_speed
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,12.914572864321608,12.814070351758794,13.015075376884422,0.1664589128330256,0.01108650094428635,619.1458982208737,59.474602468877016,0.5550013726858911,25.337529696255526,25.204443365553974,0.6266738668870364,0.8806453048319939,0.47288087908350784,0.5885503187289017,17.748409724306793
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,13.115577889447236,13.015075376884422,13.21608040201005,0.161848806883871,0.010412895060057603,627.7955725316519,59.476210919302154,0.5426150823765536,25.01655568384177,25.30075534039731,0.6433771533285572,0.8760873045556948,0.4644958768670406,0.5819659695385255,17.97614407268232
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,13.316582914572864,13.21608040201005,13.417085427135678,0.15722172104482068,0.009762186440928036,634.6468720415378,59.20797712669605,0.5300122059061011,24.709246881643338,25.318455749164848,0.6590603822410552,0.8689765375028137,0.4552704295253895,0.575620123259384,18.204250472508317
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,13.517587939698492,13.417085427135678,13.618090452261306,0.1635374221769565,0.03259616890261386,681.9923237565581,207.3725776593218,0.5471717348986895,23.040019196069274,30.111729161865572,0.6759867383137437,1.008694188251417,0.2579045593783095,0.545504308320253,18.72229919398932
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,13.71859296482412,13.618090452261306,13.819095477386934,0.16133140742164118,0.03222161234308552,696.7183243574934,216.2080391982215,0.5412143376039744,22.663479059984276,30.546831276510137,0.690419717851706,1.0148292617517836,0.2451742818650489,0.5379501473192434,18.949674979112654
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,13.919597989949748,13.819095477386934,14.020100502512562,0.1593962842394901,0.03189361368803866,711.6356975672898,225.2174838008428,0.5359564352405352,22.288956395164682,30.980786870248426,0.7041276518538775,1.0209314640299032,0.2325122121379506,0.5304311978343794,19.17680584686288
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,14.120603015075377,14.020100502512562,14.22110552763819,0.15736744551709733,0.031383624758538245,725.3474580194141,232.8229682296971,0.530411730434083,21.939431067248883,31.329706858377527,0.7170902908873099,1.0243585082365276,0.2212870796329205,0.523348534182717,19.401839609871484
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,14.321608040201005,14.22110552763819,14.422110552763819,0.1553868846490119,0.030813776584970393,738.4579605700882,239.74400212890194,0.5249672029123463,21.603677720816837,31.633440456647143,0.7293858957146401,1.0264078674212602,0.2108285165935011,0.5165062369524697,19.625896802021774
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,14.522613065326633,14.422110552763819,14.623115577889447,0.15360367583519674,0.0302936399075751,751.682025006431,246.76907800499094,0.5200383464204501,21.271394681296048,31.934798414972313,0.7410919203467341,1.0284360446716416,0.2004780520257223,0.5097245080038786,19.850015278860173
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,14.72361809045226,14.623115577889447,14.824120603015075,0.15224734363984915,0.029779056300589402,766.1743735101443,253.51595161178605,0.5162723599778354,20.934819477901485,32.27085793277184,0.7523010421689098,1.0317131169122056,0.19128337053440106,0.5028678666636549,20.07256484241748
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,14.924623115577889,14.824120603015075,15.025125628140703,0.15113936165967864,0.02928710937836554,781.2647028467843,260.16886613167424,0.513185020067134,20.600617366637508,32.61856386057566,0.7630116777123015,1.0354264737040277,0.18263800076725917,0.49605264359456314,20.29461136768335
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,15.125628140703517,15.025125628140703,15.226130653266331,0.15016498174786724,0.02882751926575236,796.5080388306036,266.85977569365843,0.5104618400181198,20.27277536672099,32.96317203066948,0.7732319560357828,1.039069162591989,0.1741571587290147,0.48934842540927803,20.516823440022357
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,15.326633165829145,15.226130653266331,15.42713567839196,0.14909347398969736,0.028214828890896014,810.835231220117,271.8863378919706,0.5074584400135231,19.965359866409738,33.23850448368433,0.7829401061868685,1.0406790692315493,0.1673745927895694,0.4830007168967621,20.73706327458244
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,15.527638190954773,15.42713567839196,15.628140703517587,0.14806210616191057,0.027579393541835525,824.9009775546662,276.3381589519433,0.5045588755232387,19.668378205379543,33.488272218000404,0.7921936693878098,1.0415808354087666,0.1612455886717499,0.4768351132333246,20.95685135086991
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,15.728643216080402,15.628140703517587,15.829145728643216,0.14713486390581657,0.02698260198945875,839.0716802863428,280.80396116798505,0.5019447829169337,19.377196570168962,33.73560773665799,0.8010331435794147,1.0424649901715517,0.15523628346735338,0.47077073911714,21.176964853366037
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,15.92964824120603,15.829145728643216,16.030150753768844,0.14632677882493111,0.026412848189400807,853.4706702703849,285.19012255805507,0.4996610104946032,19.091368230151243,33.983585071289575,0.8094854458248331,1.0434380889904045,0.1495037441809139,0.464799797627902,21.397168647395787
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,16.130653266331656,16.030150753768844,16.231155778894472,0.1456417162776141,0.02586274284728285,868.1731471296937,289.43527101270297,0.4977208270293002,18.810743661698023,34.233996757804896,0.8175734133523843,1.0445594658873205,0.14413795572917099,0.4589196790859862,21.617337469091712
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,16.331658291457288,16.231155778894472,16.4321608040201,0.1450342910076553,0.025342348748564343,882.9778219607874,293.68224584545277,0.49599738175824826,18.53637516543718,34.481804512106386,0.825306766427599,1.0456558434947565,0.13889178887759002,0.4531487496020697,21.837846886316417
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,16.532663316582912,16.4321608040201,16.633165829145728,0.14449767185725393,0.02484909347987346,897.8823267448482,297.92951432096413,0.49447237874034916,18.268298337299495,34.72697278501534,0.8327027540038896,1.0467270795712307,0.13376592425166067,0.44748763044234524,22.058695538310573
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,16.733668341708544,16.633165829145728,16.834170854271356,0.1437178923909287,0.024247163024684965,911.1281194239428,300.6047526911566,0.49225223919055255,18.02048137094942,34.88766413207057,0.8397081017305122,1.0453827150535984,0.12976452508933062,0.44218011257681356,22.2785888199594
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,16.93467336683417,16.834170854271356,17.035175879396984,0.14289801324257448,0.023631839035703102,923.8195487390574,302.7327717995041,0.48991268421559797,17.782763494516292,35.01820941062963,0.8463856545643759,1.0432411125632097,0.12619518760534973,0.4370488570817875,22.498425220559973
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,17.1356783919598,17.035175879396984,17.236180904522612,0.14213897868883044,0.023048552616410173,936.5644364639622,304.86282592506143,0.48774195770450657,17.55022461777828,35.14736297207394,0.8527743253487295,1.0411461677277323,0.12270361287955375,0.4320079921834011,22.718664254721556
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,17.336683417085425,17.236180904522612,17.43718592964824,0.14144167839043398,0.022494851556201425,949.3589605650142,306.993105452085,0.4857437200181241,17.32269086972807,35.275057319225255,0.8588874069916488,1.0390963141416945,0.1192871902361572,0.4270544832601027,22.93927570130716
